date,item_code,brand_name,quantity,unit_price,executive
2022-12-24,NES062,Gold Cornflakes,8,105.4,Viknesh
2024-04-02,NES006,KitKat,7,136.5,Viknesh
2024-01-17,NES006,KitKat,6,136.5,Hazim
2023-12-31,NES066,Nestum,2,47.1,John
2023-05-10,NES058,Lactogrow,5,150.0,Wei Yong
2023-12-26,NES050,Maggi,7,135.8,John
2022-06-13,NES063,Cerelac,5,90.5,John
2024-04-25,NES030,Nestum,4,103.4,John
2025-02-01,NES004,Milo,5,128.2,Viknesh
2025-04-08,NES042,KitKat,5,76.9,Wei Yong
2024-08-25,NES058,Lactogrow,6,150.0,Hazim
2023-07-06,NES031,Gold Cornflakes,9,63.9,Hazim
2023-08-26,NES034,Gold Cornflakes,1,47.7,John
2025-01-10,NES013,Lactogrow,6,117.0,Wei Yong
2024-10-14,NES015,Lactogrow,1,36.7,John
2023-09-28,NES020,Milo,1,103.8,Viknesh
2024-04-01,NES009,Koko Krunch,7,85.6,Wei Yong
2024-08-26,NES082,Nescafé,9,62.2,John
2022-12-28,NES054,Maggi,5,145.0,Amira
2022-12-10,NES074,Nescafé,6,62.8,John
2022-07-11,NES006,KitKat,5,136.5,Wei Yong
2025-01-30,NES004,Milo,5,128.2,Hazim
2023-05-23,NES027,Nestum,9,53.5,Hazim
2023-11-09,NES081,Gold Cornflakes,4,69.2,Viknesh
2023-04-06,NES055,Maggi,3,89.1,Viknesh
2024-07-21,NES049,Gold Cornflakes,9,71.2,Amira
2023-07-25,NES001,Cerelac,5,46.7,Hazim
2025-01-31,NES032,Koko Krunch,6,70.6,Wei Yong
2022-10-27,NES024,Maggi,4,65.3,Hazim
2024-03-05,NES095,Milo,2,108.0,Viknesh
2024-10-11,NES066,Nestum,9,47.1,Viknesh
2023-12-18,NES066,Nestum,2,47.1,Hazim
2022-11-13,NES024,Maggi,2,65.3,Hazim
2023-12-30,NES048,Nestum,10,132.4,John
2023-05-13,NES016,Koko Krunch,9,31.8,Hazim
2022-02-20,NES038,Nescafé,3,134.0,Hazim
2022-04-07,NES011,Nestum,6,78.0,Wei Yong
