date,item_code,brand_name,quantity,unit_price,executive
2022-09-17,NES015,Lactogrow,1,36.7,Amira
2022-04-21,NES025,Gold Cornflakes,9,144.1,Amira
2024-07-25,NES010,Maggi,10,103.5,John
2024-12-12,NES024,Maggi,2,65.3,John
2024-02-12,NES086,Milo,2,63.1,Viknesh
2023-07-09,NES080,Nescafé,4,138.6,Amira
2023-01-27,NES050,Maggi,1,135.8,John
2022-12-03,NES089,Maggi,7,56.9,Amira
2023-10-19,NES085,Koko Krunch,4,78.5,Hazim
2023-12-03,NES054,Maggi,9,145.0,John
2023-07-03,NES033,Gold Cornflakes,2,42.4,Viknesh
2022-02-17,NES068,Nescafé,1,47.9,John
2023-11-23,NES003,KitKat,3,145.3,Hazim
2022-04-01,NES009,Koko Krunch,10,85.6,Viknesh
2024-12-08,NES045,Milo,9,130.0,John
2024-08-21,NES068,Nescafé,8,47.9,John
2022-02-23,NES098,Gold Cornflakes,8,44.7,Viknesh
2023-04-13,NES046,Gold Cornflakes,2,100.9,Amira
2024-01-02,NES052,Nestum,6,71.0,John
2023-11-29,NES028,Koko Krunch,8,146.0,John
2022-08-09,NES011,Nestum,2,78.0,Hazim
2023-06-05,NES014,Lactogrow,7,120.8,John
2022-04-16,NES057,Nescafé,1,83.7,Viknesh
2025-05-02,NES086,Milo,2,63.1,Viknesh
2022-11-09,NES006,KitKat,3,136.5,Hazim
2023-07-16,NES055,Maggi,5,89.1,Amira
2024-08-15,NES098,Gold Cornflakes,2,44.7,Viknesh
2023-01-28,NES095,Milo,10,108.0,Hazim
2025-06-10,NES076,Nescafé,7,63.3,Wei Yong
2022-08-26,NES009,Koko Krunch,6,85.6,Amira
2024-07-31,NES028,Koko Krunch,8,146.0,Hazim
2022-07-31,NES064,Lactogrow,9,61.5,Amira
2022-12-12,NES004,Milo,4,128.2,Viknesh
2025-01-06,NES095,Milo,3,108.0,Hazim
2023-04-29,NES008,Gold Cornflakes,4,96.0,Hazim
2023-06-22,NES092,Lactogrow,5,84.6,Hazim
2024-04-18,NES017,Maggi,4,111.0,Wei Yong
2022-07-08,NES097,Nestum,9,93.4,Viknesh
2024-11-24,NES058,Lactogrow,10,150.0,Hazim
2024-07-23,NES004,Milo,1,128.2,Wei Yong
2023-03-03,NES020,Milo,1,103.8,Hazim
2024-12-09,NES006,KitKat,8,136.5,Wei Yong
2023-06-28,NES085,Koko Krunch,1,78.5,Hazim
2022-12-19,NES019,Koko Krunch,9,98.4,Hazim
2023-06-07,NES048,Nestum,7,132.4,Hazim
2025-04-06,NES080,Nescafé,10,138.6,Hazim
2023-03-21,NES014,Lactogrow,4,120.8,Viknesh
2023-05-12,NES089,Maggi,1,56.9,Wei Yong
2024-04-06,NES003,KitKat,4,145.3,Hazim
2022-01-17,NES068,Nescafé,3,47.9,Viknesh
