date,item_code,brand_name,quantity,unit_price,executive
2022-06-11,NES035,Milo,3,128.6,Wei Yong
2025-04-23,NES015,Lactogrow,9,36.7,Viknesh
2022-02-03,NES053,Nestum,1,77.1,Wei Yong
2023-11-20,NES076,Nescafé,10,63.3,Viknesh
2023-12-07,NES004,Milo,8,128.2,Amira
2024-02-03,NES100,Gold Cornflakes,10,134.1,Viknesh
2024-06-10,NES018,Gold Cornflakes,3,122.0,John
2023-06-17,NES019,Koko Krunch,6,98.4,Amira
2025-04-01,NES010,Maggi,7,103.5,Hazim
2025-05-09,NES008,Gold Cornflakes,5,96.0,Viknesh
2023-04-20,NES074,Nescafé,5,62.8,John
2023-08-22,NES080,Nescafé,2,138.6,John
2024-12-20,NES082,Nescafé,3,62.2,Amira
2024-04-19,NES003,KitKat,9,145.3,John
2025-06-21,NES042,KitKat,7,76.9,Hazim
2023-10-22,NES045,Milo,2,130.0,Wei Yong
2022-05-15,NES066,Nestum,10,47.1,Wei Yong
2023-02-02,NES032,Koko Krunch,9,70.6,Hazim
2024-02-18,NES024,Maggi,7,65.3,Amira
2023-11-20,NES027,Nestum,8,53.5,Wei Yong
2022-12-24,NES052,Nestum,10,71.0,Wei Yong
2022-08-01,NES061,KitKat,8,42.5,Wei Yong
2023-07-19,NES011,Nestum,2,78.0,Amira
2024-07-30,NES078,Lactogrow,3,42.1,Wei Yong
2023-02-07,NES097,Nestum,3,93.4,John
2022-02-20,NES003,KitKat,1,145.3,John
2024-02-10,NES045,Milo,9,130.0,Wei Yong
2024-12-11,NES032,Koko Krunch,6,70.6,Viknesh
2024-05-18,NES066,Nestum,6,47.1,John
2024-03-10,NES022,Cerelac,6,67.8,Wei Yong
2022-09-24,NES003,KitKat,8,145.3,Viknesh
2024-11-17,NES089,Maggi,3,56.9,John
2025-02-09,NES098,Gold Cornflakes,4,44.7,Viknesh
2024-10-01,NES051,Maggi,6,112.1,Wei Yong
2023-11-01,NES095,Milo,8,108.0,Wei Yong
2022-03-20,NES059,Cerelac,8,38.2,John
2022-10-24,NES036,Lactogrow,2,60.7,Hazim
2025-01-25,NES083,KitKat,9,82.4,John
2022-05-31,NES098,Gold Cornflakes,4,44.7,Wei Yong
2024-08-24,NES023,Koko Krunch,4,133.8,Wei Yong
2025-06-03,NES034,Gold Cornflakes,3,47.7,Amira
2024-03-09,NES053,Nestum,7,77.1,John
2023-01-23,NES018,Gold Cornflakes,2,122.0,Hazim
2024-04-24,NES062,Gold Cornflakes,10,105.4,John
2023-06-19,NES010,Maggi,3,103.5,Viknesh
2022-08-17,NES024,Maggi,6,65.3,Wei Yong
2023-12-17,NES050,Maggi,9,135.8,John
2023-06-20,NES082,Nescafé,6,62.2,Viknesh
2025-05-27,NES070,KitKat,9,69.4,Viknesh
2024-02-19,NES096,Milo,4,103.2,Wei Yong
2022-03-14,NES019,Koko Krunch,10,98.4,Hazim
2024-06-13,NES078,Lactogrow,3,42.1,Hazim
2022-02-05,NES021,Koko Krunch,3,124.2,Viknesh
2024-05-01,NES100,Gold Cornflakes,5,134.1,Amira
2025-01-10,NES018,Gold Cornflakes,9,122.0,Amira
2024-01-05,NES026,Nescafé,4,31.9,Amira
2025-04-28,NES025,Gold Cornflakes,8,144.1,Amira
2023-03-04,NES009,Koko Krunch,2,85.6,John
2023-01-02,NES073,Nescafé,8,116.0,John
2023-12-31,NES001,Cerelac,3,46.7,Hazim
2025-03-11,NES034,Gold Cornflakes,4,47.7,Wei Yong
2022-04-29,NES083,KitKat,8,82.4,Wei Yong
