date,item_code,brand_name,quantity,unit_price,executive
2022-08-28,NES043,Nestum,9,46.4,John
2024-05-02,NES023,Koko Krunch,10,133.8,Viknesh
2024-10-13,NES024,Maggi,9,65.3,Amira
2024-01-11,NES017,Maggi,2,111.0,Amira
2023-11-20,NES003,KitKat,5,145.3,Wei Yong
2024-04-14,NES024,Maggi,7,65.3,Amira
2022-09-01,NES029,KitKat,5,74.3,Wei Yong
2024-01-09,NES059,Cerelac,5,38.2,Viknesh
2023-04-19,NES026,Nescafé,1,31.9,Viknesh
2022-04-20,NES089,Maggi,3,56.9,Hazim
2023-04-07,NES092,Lactogrow,1,84.6,Viknesh
2024-04-07,NES074,Nescafé,9,62.8,Wei Yong
2024-01-03,NES041,Lactogrow,5,149.6,Hazim
2024-08-03,NES044,KitKat,10,44.1,Viknesh
2022-01-23,NES063,Cerelac,6,90.5,John
2024-02-04,NES020,Milo,5,103.8,Viknesh
2023-03-30,NES098,Gold Cornflakes,1,44.7,Amira
2022-02-17,NES037,Milo,5,136.5,Hazim
2023-06-17,NES048,Nestum,1,132.4,Amira
2024-03-16,NES022,Cerelac,3,67.8,Hazim
2022-11-22,NES099,Milo,9,123.6,Hazim
2023-08-01,NES018,Gold Cornflakes,2,122.0,Viknesh
2024-10-03,NES061,KitKat,3,42.5,Amira
2025-01-16,NES039,Maggi,1,111.2,Amira
2023-08-29,NES043,Nestum,6,46.4,Wei Yong
2022-03-30,NES018,Gold Cornflakes,5,122.0,Viknesh
2023-12-10,NES029,KitKat,9,74.3,Hazim
2024-12-24,NES064,Lactogrow,8,61.5,Viknesh
2025-04-15,NES044,KitKat,4,44.1,Wei Yong
2022-12-18,NES015,Lactogrow,1,36.7,John
2022-06-19,NES091,Koko Krunch,9,105.6,John
2022-02-04,NES071,Gold Cornflakes,5,93.7,Viknesh
2023-07-06,NES086,Milo,9,63.1,Wei Yong
2022-06-13,NES006,KitKat,5,136.5,Hazim
2024-09-09,NES028,Koko Krunch,2,146.0,Amira
2024-10-17,NES058,Lactogrow,8,150.0,Wei Yong
2022-03-16,NES046,Gold Cornflakes,7,100.9,Wei Yong
2024-03-26,NES088,Milo,2,79.2,John
2024-03-08,NES038,Nescafé,9,134.0,Wei Yong
2023-07-10,NES029,KitKat,10,74.3,Wei Yong
2023-05-17,NES021,Koko Krunch,4,124.2,John
2025-04-27,NES042,KitKat,3,76.9,Hazim
2022-09-06,NES100,Gold Cornflakes,4,134.1,Wei Yong
2023-07-14,NES050,Maggi,2,135.8,Viknesh
2022-06-12,NES035,Milo,7,128.6,Amira
2023-12-17,NES003,KitKat,3,145.3,Amira
2022-04-13,NES031,Gold Cornflakes,2,63.9,Viknesh
2024-10-03,NES007,KitKat,2,119.9,Viknesh
2023-12-31,NES037,Milo,4,136.5,Viknesh
2023-12-16,NES073,Nescafé,8,116.0,Wei Yong
2022-10-17,NES033,Gold Cornflakes,4,42.4,John
2022-03-22,NES002,Nescafé,3,81.7,Wei Yong
2022-06-29,NES093,Lactogrow,6,90.8,Amira
2022-05-30,NES001,Cerelac,7,46.7,Viknesh
2024-01-15,NES038,Nescafé,7,134.0,Hazim
2025-02-05,NES018,Gold Cornflakes,8,122.0,Amira
2024-06-01,NES014,Lactogrow,3,120.8,Wei Yong
2025-01-02,NES010,Maggi,2,103.5,Amira
2024-09-30,NES016,Koko Krunch,5,31.8,John
2023-10-17,NES100,Gold Cornflakes,9,134.1,Hazim
2024-01-08,NES084,Maggi,4,69.0,Viknesh
2023-03-29,NES088,Milo,6,79.2,Amira
2022-01-14,NES080,Nescafé,9,138.6,Hazim
2022-02-06,NES017,Maggi,4,111.0,Viknesh
2024-04-03,NES047,Gold Cornflakes,2,107.8,Viknesh
2023-04-01,NES060,Cerelac,4,91.2,Hazim
2024-04-12,NES043,Nestum,10,46.4,Hazim
2022-02-09,NES074,Nescafé,8,62.8,Amira
2024-12-10,NES013,Lactogrow,9,117.0,Wei Yong
2022-02-11,NES049,Gold Cornflakes,3,71.2,Amira
2022-03-21,NES097,Nestum,1,93.4,Amira
2025-06-10,NES085,Koko Krunch,3,78.5,Hazim
2022-01-10,NES071,Gold Cornflakes,6,93.7,Viknesh
2022-07-24,NES045,Milo,8,130.0,Wei Yong
2022-07-17,NES044,KitKat,2,44.1,Amira
2024-05-21,NES062,Gold Cornflakes,8,105.4,Hazim
2025-04-01,NES096,Milo,5,103.2,Wei Yong
2024-08-30,NES076,Nescafé,3,63.3,Viknesh
2025-02-17,NES080,Nescafé,5,138.6,Amira
2025-02-24,NES034,Gold Cornflakes,1,47.7,John
2023-10-26,NES060,Cerelac,3,91.2,John
2024-02-03,NES030,Nestum,2,103.4,Wei Yong
2022-12-16,NES046,Gold Cornflakes,5,100.9,Hazim
2023-09-08,NES080,Nescafé,7,138.6,Viknesh
2022-07-12,NES007,KitKat,4,119.9,Hazim
2023-01-15,NES069,Maggi,6,102.2,Viknesh
2024-09-03,NES023,Koko Krunch,10,133.8,Wei Yong
2022-07-28,NES006,KitKat,1,136.5,Viknesh
2024-06-16,NES096,Milo,3,103.2,John
2023-04-27,NES066,Nestum,5,47.1,John
2025-04-11,NES022,Cerelac,2,67.8,Wei Yong
2023-01-08,NES074,Nescafé,2,62.8,Hazim
2023-08-26,NES096,Milo,7,103.2,Amira
2024-10-24,NES050,Maggi,4,135.8,Amira
2025-01-02,NES041,Lactogrow,1,149.6,Wei Yong
2022-05-26,NES076,Nescafé,4,63.3,Amira
2024-04-21,NES058,Lactogrow,4,150.0,Amira
2023-12-28,NES003,KitKat,9,145.3,Hazim
2025-02-19,NES052,Nestum,10,71.0,John
2022-07-31,NES069,Maggi,6,102.2,Amira
